1	S	1	520	10	0	5	0	0	2	-21
1	S	2	524	11	0	5	0	0	2	-22
1	S	3	528	12	0	5	0	0	2	-23
1	S	4	532	13	0	6	0	0	2	-25
1	S	5	536	14	0	7	0	0	2	-27
1	P	1	516	0	5	8	0	0	2	-20
1	P	2	520	0	5	9	0	0	2	-21
1	P	3	524	0	5	10	0	0	2	-22
1	P	4	528	0	6	11	0	0	2	-24
1	P	5	532	0	7	12	0	0	2	-26
1	G	1	532	4	0	4	8	0	2	-22
1	G	2	536	4	0	4	9	0	2	-23
1	G	3	540	4	0	4	10	0	2	-24
1	G	4	544	5	0	4	11	0	2	-26
1	G	5	548	5	0	5	12	0	2	-28
1	H	1	507	0	9	0	4	0	2	-19
1	H	2	511	0	10	0	4	0	2	-20
1	H	3	515	0	11	0	4	0	2	-21
1	H	4	519	0	12	0	5	0	2	-23
1	H	5	523	0	13	0	6	0	2	-25
1	W	1	320	2	0	0	0	9	4	5
1	W	2	321	2	0	0	0	10	4	5
1	W	3	322	2	0	0	0	11	4	5
1	W	4	323	3	0	0	0	12	4	5
1	W	5	324	4	0	0	0	13	4	5
2	S	1	520	8	0	4	0	0	2	-19
2	S	2	524	9	0	4	0	0	2	-20
2	S	3	528	10	0	4	0	0	2	-21
2	S	4	532	11	0	5	0	0	2	-23
2	S	5	536	12	0	6	0	0	2	-25
2	P	1	516	0	4	6	0	0	2	-18
2	P	2	520	0	4	7	0	0	2	-19
2	P	3	524	0	4	8	0	0	2	-20
2	P	4	528	0	5	9	0	0	2	-22
2	P	5	532	0	6	10	0	0	2	-24
2	G	1	532	3	0	3	6	0	2	-20
2	G	2	536	3	0	3	7	0	2	-21
2	G	3	540	3	0	3	8	0	2	-22
2	G	4	544	4	0	3	9	0	2	-24
2	G	5	548	4	0	4	10	0	2	-26
2	H	1	507	0	7	0	3	0	2	-17
2	H	2	511	0	8	0	3	0	2	-18
2	H	3	515	0	9	0	3	0	2	-19
2	H	4	519	0	10	0	4	0	2	-21
2	H	5	523	0	11	0	5	0	2	-23
2	W	1	320	2	0	0	0	6	3	5
2	W	2	321	2	0	0	0	7	3	5
2	W	3	322	2	0	0	0	8	3	5
2	W	4	323	3	0	0	0	9	3	5
2	W	5	324	4	0	0	0	10	3	5
