1001	12,27,34,44,56,70,72,74,76,78
1002	12,29,42,53,60,67,68,74,76,78
1003	12,26,31,34,44,56,70,72,74,76,78
1004	12,23,30,31,34,48,54,59,68,74,76,78
1005	12,23,29,31,33,44,54,59,68,72,74,76,78
1006	12,33,46,48,68,72,74,76,78
1007	12,24,31,44,48,56,60,68,72,74,76,78
1008	12,23,29,31,34,44,48,57,59,68,74,76,78
1009	12,29,31,34,44,45,54,68,72,74,76,78
1010	12,25,33,36,46,59,66,70,74,76,78
1011	12,23,34,46,48,60,67,72,74,76,78
1012	12,23,31,34,44,48,54,59,70,72,74,76,78
1013	12,42,44,56,60,68,74,76,78
1014	12,27,33,34,43,60,70,72,74,76,78
1015	12,31,34,48,56,60,70,72,74,76,78
1016	12,23,31,34,44,48,54,56,68,70,72,74,76,78
1017	12,19,31,34,44,48,56,70,72,74,76,78
1018	12,23,31,34,44,54,60,64,68,74,76,78
1019	12,28,33,37,46,68,74,76,78
1020	12,31,34,44,48,56,60,68,72,74,76,78
1023	12,23,31,34,44,56,60,68,72,74,76,78
1024	12,44,48,54,56,60,68,72,74,76,78
1025	12,29,42,44,48,56,60,70,72,74,76,78
1026	12,23,30,31,34,44,56,70,72,74,76,78
1027	12,25,31,34,44,48,56,60,72,74,76,78
1028	12,42,44,46,54,59,66,70,74,76,78
1030	12,30,34,44,54,56,60,72,74,76,78
1032	12,29,31,33,44,54,60,68,72,74,76,78
1035	12,24,29,31,34,44,54,60,72,74,76,78
1037	12,25,31,34,46,48,54,56,68,72,74,76,78
1038	12,29,34,36,42,53,54,66,74,76,78
1039	12,34,44,45,53,57,60,69,74,76,78
1040	12,23,31,34,44,48,54,56,60,70,74,76,78
1041	12,21,30,34,42,54,60,61,65,66,70,74,76,78
1045	12,28,44,48,54,56,68,72,74,76,78
1046	12,31,37,45,48,52,60,69,71,72,74,76,78
1048	12,24,31,45,48,54,56,60,68,74,76,78
1050	12,24,31,34,44,54,56,68,72,74,76,78
1052	12,50,52,63,69,72,74,76,78
1056	12,29,34,44,53,60,61,72,74,76,78
1058	12,49,53,60,68,70,72,74,76,78
1060	12,26,39,44,48,60,68,71,72,74,76,78
1061	12,24,31,34,44,54,59,66,68,74,76,78
