S	1	520	10	0	5	0	0	2	-21
S	2	524	11	0	5	0	0	2	-22
S	3	528	12	0	5	0	0	2	-23
S	4	532	13	0	6	0	0	2	-25
S	5	536	14	0	7	0	0	2	-27
P	1	516	0	5	8	0	0	2	-20
P	2	520	0	5	9	0	0	2	-21
P	3	524	0	5	10	0	0	2	-22
P	4	528	0	6	11	0	0	2	-24
P	5	532	0	7	12	0	0	2	-26
G	1	532	4	0	4	8	0	2	-22
G	2	536	4	0	4	9	0	2	-23
G	3	540	4	0	4	10	0	2	-24
G	4	544	5	0	4	11	0	2	-26
G	5	548	5	0	5	12	0	2	-28
H	1	507	0	9	0	4	0	2	-19
H	2	511	0	10	0	4	0	2	-20
H	3	515	0	11	0	4	0	2	-21
H	4	519	0	12	0	5	0	2	-23
H	5	523	0	13	0	6	0	2	-25
W	1	320	2	0	0	0	9	4	5
W	2	321	2	0	0	0	10	4	5
W	3	322	2	0	0	0	11	4	5
W	4	323	3	0	0	0	12	4	5
W	5	324	4	0	0	0	13	4	5
