函館ジュニアステークス	1	0	0	7	2	350	3100	300	1200	芝	函館
中京ジュニアステークス	1	0	0	7	2	350	1600	400	1600	芝	中京
ダリア賞	1	0	0	8	1	350	1600	400	1400	芝	新潟
フェニックス賞	1	0	0	8	1	350	1600	400	1200	芝	小倉
コスモス賞	1	0	0	8	1	350	1600	400	1800	芝	札幌
新潟ジュニアステークス	1	0	0	8	2	350	3100	300	1600	芝	新潟
クローバー賞	1	0	0	8	2	350	1600	400	1500	芝	札幌
札幌ジュニアステークス	1	0	0	9	1	350	3100	300	1800	芝	札幌
小倉ジュニアステークス	1	0	0	9	1	350	3100	300	1200	芝	小倉
すずらん賞	1	0	0	9	1	350	1600	400	1200	芝	札幌
野路菊ステークス	1	0	0	9	1	350	1600	400	1800	芝	阪神
アスター賞	1	0	0	9	1	350	1000	700	1600	芝	中山
ききょうステークス	1	0	0	9	2	350	1600	400	1400	芝	阪神
芙蓉ステークス	1	0	0	9	2	350	1600	400	2000	芝	中山
カンナステークス	1	0	0	9	2	350	1600	400	1200	芝	中山
サフラン賞	1	0	0	9	2	350	1000	700	1600	芝	中山
サウジアラビアロイヤルカップ	1	0	0	10	1	350	3300	300	1600	芝	東京
もみじステークス	1	0	0	10	1	350	1600	400	1400	芝	京都
りんどう賞	1	0	0	10	1	350	1000	700	1400	芝	京都
紫菊賞	1	0	0	10	1	350	1000	700	2000	芝	京都
プラタナス賞	1	0	0	10	1	350	1000	700	1600	ダート	東京
アルテミスステークス	1	0	0	10	2	350	2900	300	1600	芝	東京
アイビーステークス	1	0	0	10	2	350	1700	400	1800	芝	東京
萩ステークス	1	0	0	10	2	350	1700	400	1800	芝	京都
なでしこ賞	1	0	0	10	2	350	1000	700	1400	ダート	京都
京王杯ジュニアステークス	1	0	0	11	1	375	3800	200	1400	芝	東京
デイリー杯ジュニアステークス	1	0	0	11	1	375	3800	200	1600	芝	京都
ファンタジーステークス	1	0	0	11	1	350	2900	300	1400	芝	京都
福島ジュニアステークス	1	0	0	11	1	350	1600	400	1200	芝	福島
百日草特別	1	0	0	11	1	350	1000	700	2000	芝	東京
きんもくせい特別	1	0	0	11	1	350	1000	700	1800	芝	福島
オキザリス賞	1	0	0	11	1	350	1000	700	1400	ダート	東京
黄菊賞	1	0	0	11	1	350	1000	700	2000	芝	京都
